Timestamp,RL_Signal,Close,Cash,Holdings,Portfolio_RL
2015-04-23 00:00:00+05:30,1,324.0,149.09999999999945,21,6953.099999999999
2015-04-24 00:00:00+05:30,1,336.0,149.09999999999945,21,7205.099999999999
2015-04-25 00:00:00+05:30,1,308.45,149.09999999999945,21,6626.549999999999
2015-04-26 00:00:00+05:30,-1,308.45,6626.549999999999,0,6626.549999999999
2015-04-27 00:00:00+05:30,-1,308.45,6626.549999999999,0,6626.549999999999
2015-04-28 00:00:00+05:30,1,292.0,202.54999999999927,22,6626.549999999999
2015-04-29 00:00:00+05:30,1,305.05,202.54999999999927,22,6913.65
2015-04-30 00:00:00+05:30,1,303.55,202.54999999999927,22,6880.65
2015-05-01 00:00:00+05:30,1,312.1,202.54999999999927,22,7068.75
2015-05-02 00:00:00+05:30,-1,312.1,7068.75,0,7068.75
2015-05-03 00:00:00+05:30,1,312.1,202.54999999999927,22,7068.75
2015-05-04 00:00:00+05:30,1,312.1,202.54999999999927,22,7068.75
2015-05-05 00:00:00+05:30,1,315.0,202.54999999999927,22,7132.549999999999
2015-05-06 00:00:00+05:30,1,310.7,202.54999999999927,22,7037.949999999999
2015-05-07 00:00:00+05:30,1,295.0,202.54999999999927,22,6692.549999999999
2015-05-08 00:00:00+05:30,1,300.5,202.54999999999927,22,6813.549999999999
2015-05-09 00:00:00+05:30,1,299.3,202.54999999999927,22,6787.15
2015-05-10 00:00:00+05:30,1,299.3,202.54999999999927,22,6787.15
2015-05-11 00:00:00+05:30,1,299.3,202.54999999999927,22,6787.15
2015-05-12 00:00:00+05:30,1,307.95,202.54999999999927,22,6977.449999999999
2015-05-13 00:00:00+05:30,1,303.95,202.54999999999927,22,6889.449999999999
2015-05-14 00:00:00+05:30,1,301.8,202.54999999999927,22,6842.15
2015-05-15 00:00:00+05:30,1,309.0,202.54999999999927,22,7000.549999999999
2015-05-16 00:00:00+05:30,-1,322.5,7297.549999999999,0,7297.549999999999
2015-05-17 00:00:00+05:30,-1,322.5,7297.549999999999,0,7297.549999999999
2015-05-18 00:00:00+05:30,1,322.5,202.54999999999927,22,7297.549999999999
2015-05-19 00:00:00+05:30,1,320.8,202.54999999999927,22,7260.15
2015-05-20 00:00:00+05:30,-1,302.6,6859.75,0,6859.75
2015-05-21 00:00:00+05:30,1,319.0,160.75,21,6859.75
2015-05-22 00:00:00+05:30,-1,313.65,6747.4,0,6747.4
2015-05-23 00:00:00+05:30,1,310.0,237.39999999999964,21,6747.4
2015-05-24 00:00:00+05:30,1,310.0,237.39999999999964,21,6747.4
2015-05-25 00:00:00+05:30,1,310.0,237.39999999999964,21,6747.4
2015-05-26 00:00:00+05:30,1,295.05,237.39999999999964,21,6433.45
2015-05-27 00:00:00+05:30,1,292.0,237.39999999999964,21,6369.4
2015-05-28 00:00:00+05:30,1,290.0,237.39999999999964,21,6327.4
2015-05-29 00:00:00+05:30,1,290.0,237.39999999999964,21,6327.4
2015-05-30 00:00:00+05:30,-1,289.05,6307.45,0,6307.45
2015-05-31 00:00:00+05:30,1,289.05,237.39999999999964,21,6307.45
2015-06-01 00:00:00+05:30,1,289.05,237.39999999999964,21,6307.45
2015-06-02 00:00:00+05:30,1,290.0,237.39999999999964,21,6327.4
2015-06-03 00:00:00+05:30,1,284.0,237.39999999999964,21,6201.4
2015-06-04 00:00:00+05:30,1,277.75,237.39999999999964,21,6070.15
2015-06-05 00:00:00+05:30,1,276.0,237.39999999999964,21,6033.4
2015-06-06 00:00:00+05:30,1,278.2,237.39999999999964,21,6079.599999999999
2015-06-07 00:00:00+05:30,1,278.2,237.39999999999964,21,6079.599999999999
2015-06-08 00:00:00+05:30,1,278.2,237.39999999999964,21,6079.599999999999
2015-06-09 00:00:00+05:30,1,279.6,237.39999999999964,21,6109.0
2015-06-10 00:00:00+05:30,1,273.8,237.39999999999964,21,5987.2
2015-06-11 00:00:00+05:30,1,269.0,237.39999999999964,21,5886.4
2015-06-12 00:00:00+05:30,1,258.0,237.39999999999964,21,5655.4
2015-06-13 00:00:00+05:30,1,269.2,237.39999999999964,21,5890.599999999999
2015-06-14 00:00:00+05:30,1,269.2,237.39999999999964,21,5890.599999999999
2015-06-15 00:00:00+05:30,1,269.2,237.39999999999964,21,5890.599999999999
2015-06-16 00:00:00+05:30,1,266.1,237.39999999999964,21,5825.5
2015-06-17 00:00:00+05:30,-1,275.0,6012.4,0,6012.4
2015-06-18 00:00:00+05:30,1,270.0,72.39999999999964,22,6012.4
2015-06-19 00:00:00+05:30,1,274.75,72.39999999999964,22,6116.9
2015-06-20 00:00:00+05:30,1,266.0,72.39999999999964,22,5924.4
2015-06-21 00:00:00+05:30,1,266.0,72.39999999999964,22,5924.4
2015-06-22 00:00:00+05:30,1,266.0,72.39999999999964,22,5924.4
2015-06-23 00:00:00+05:30,1,269.05,72.39999999999964,22,5991.5
2015-06-24 00:00:00+05:30,-1,265.0,5902.4,0,5902.4
2015-06-25 00:00:00+05:30,1,268.25,0.8999999999996362,22,5902.4
2015-06-26 00:00:00+05:30,1,274.0,0.8999999999996362,22,6028.9
2015-06-27 00:00:00+05:30,1,275.0,0.8999999999996362,22,6050.9
2015-06-28 00:00:00+05:30,1,275.0,0.8999999999996362,22,6050.9
2015-06-29 00:00:00+05:30,1,275.0,0.8999999999996362,22,6050.9
2015-06-30 00:00:00+05:30,1,270.0,0.8999999999996362,22,5940.9
2015-07-01 00:00:00+05:30,1,271.5,0.8999999999996362,22,5973.9
2015-07-02 00:00:00+05:30,1,279.7,0.8999999999996362,22,6154.299999999999
2015-07-03 00:00:00+05:30,1,273.0,0.8999999999996362,22,6006.9
2015-07-04 00:00:00+05:30,1,269.15,0.8999999999996362,22,5922.199999999999
2015-07-05 00:00:00+05:30,1,269.15,0.8999999999996362,22,5922.199999999999
2015-07-06 00:00:00+05:30,1,269.15,0.8999999999996362,22,5922.199999999999
2015-07-07 00:00:00+05:30,1,284.0,0.8999999999996362,22,6248.9
2015-07-08 00:00:00+05:30,-1,276.75,6089.4,0,6089.4
2015-07-09 00:00:00+05:30,1,266.0,237.39999999999964,22,6089.4
2015-07-10 00:00:00+05:30,1,276.0,237.39999999999964,22,6309.4
2015-07-11 00:00:00+05:30,1,276.0,237.39999999999964,22,6309.4
2015-07-12 00:00:00+05:30,1,276.0,237.39999999999964,22,6309.4
2015-07-13 00:00:00+05:30,1,276.0,237.39999999999964,22,6309.4
2015-07-14 00:00:00+05:30,1,279.55,237.39999999999964,22,6387.5
2015-07-15 00:00:00+05:30,1,277.85,237.39999999999964,22,6350.1
2015-07-16 00:00:00+05:30,1,280.0,237.39999999999964,22,6397.4
2015-07-17 00:00:00+05:30,1,285.0,237.39999999999964,22,6507.4
2015-07-18 00:00:00+05:30,1,288.0,237.39999999999964,22,6573.4
2015-07-19 00:00:00+05:30,-1,288.0,6573.4,0,6573.4
2015-07-20 00:00:00+05:30,1,288.0,237.39999999999964,22,6573.4
2015-07-21 00:00:00+05:30,1,288.0,237.39999999999964,22,6573.4
2015-07-22 00:00:00+05:30,1,276.25,237.39999999999964,22,6314.9
2015-07-23 00:00:00+05:30,1,281.95,237.39999999999964,22,6440.299999999999
2015-07-24 00:00:00+05:30,1,278.9,237.39999999999964,22,6373.199999999999
2015-07-25 00:00:00+05:30,-1,282.95,6462.299999999999,0,6462.299999999999
2015-07-26 00:00:00+05:30,1,282.95,237.39999999999964,22,6462.299999999999
2015-07-27 00:00:00+05:30,1,282.95,237.39999999999964,22,6462.299999999999
2015-07-28 00:00:00+05:30,1,275.0,237.39999999999964,22,6287.4
2015-07-29 00:00:00+05:30,1,270.0,237.39999999999964,22,6177.4
2015-07-30 00:00:00+05:30,-1,274.8,6283.0,0,6283.0
2015-07-31 00:00:00+05:30,1,283.0,57.0,22,6283.0
2015-08-01 00:00:00+05:30,1,285.0,57.0,22,6327.0
2015-08-02 00:00:00+05:30,1,285.0,57.0,22,6327.0
2015-08-03 00:00:00+05:30,1,285.0,57.0,22,6327.0
2015-08-04 00:00:00+05:30,-1,277.05,6152.1,0,6152.1
2015-08-05 00:00:00+05:30,1,287.5,114.60000000000036,21,6152.1
2015-08-06 00:00:00+05:30,1,300.0,114.60000000000036,21,6414.6
2015-08-07 00:00:00+05:30,1,285.0,114.60000000000036,21,6099.6
2015-08-08 00:00:00+05:30,1,277.0,114.60000000000036,21,5931.6
2015-08-09 00:00:00+05:30,1,277.0,114.60000000000036,21,5931.6
2015-08-10 00:00:00+05:30,1,277.0,114.60000000000036,21,5931.6
2015-08-11 00:00:00+05:30,1,271.35,114.60000000000036,21,5812.950000000001
2015-08-12 00:00:00+05:30,1,269.0,114.60000000000036,21,5763.6
2015-08-13 00:00:00+05:30,1,266.0,114.60000000000036,21,5700.6
2015-08-14 00:00:00+05:30,1,260.9,114.60000000000036,21,5593.5
2015-08-15 00:00:00+05:30,1,258.0,114.60000000000036,21,5532.6
2015-08-16 00:00:00+05:30,1,258.0,114.60000000000036,21,5532.6
2015-08-17 00:00:00+05:30,1,258.0,114.60000000000036,21,5532.6
2015-08-18 00:00:00+05:30,1,260.0,114.60000000000036,21,5574.6
2015-08-19 00:00:00+05:30,1,259.05,114.60000000000036,21,5554.650000000001
2015-08-20 00:00:00+05:30,1,259.4,114.60000000000036,21,5562.0
2015-08-21 00:00:00+05:30,1,251.2,114.60000000000036,21,5389.8
2015-08-22 00:00:00+05:30,1,253.0,114.60000000000036,21,5427.6
2015-08-23 00:00:00+05:30,-1,253.0,5427.6,0,5427.6
2015-08-24 00:00:00+05:30,1,253.0,114.60000000000036,21,5427.6
2015-08-25 00:00:00+05:30,1,222.45,114.60000000000036,21,4786.05
2015-08-26 00:00:00+05:30,-1,229.95,4943.55,0,4943.55
2015-08-27 00:00:00+05:30,-1,226.1,4943.55,0,4943.55
2015-08-28 00:00:00+05:30,1,232.3,65.25,21,4943.55
2015-08-29 00:00:00+05:30,1,236.0,65.25,21,5021.25
2015-08-30 00:00:00+05:30,1,236.0,65.25,21,5021.25
2015-08-31 00:00:00+05:30,1,236.0,65.25,21,5021.25
2015-09-01 00:00:00+05:30,-1,244.9,5208.150000000001,0,5208.150000000001
2015-09-02 00:00:00+05:30,1,229.0,170.15000000000055,22,5208.150000000001
2015-09-03 00:00:00+05:30,1,229.95,170.15000000000055,22,5229.05
2015-09-04 00:00:00+05:30,1,237.05,170.15000000000055,22,5385.250000000001
2015-09-05 00:00:00+05:30,-1,227.0,5164.150000000001,0,5164.150000000001
2015-09-06 00:00:00+05:30,1,227.0,170.15000000000055,22,5164.150000000001
2015-09-07 00:00:00+05:30,1,227.0,170.15000000000055,22,5164.150000000001
2015-09-08 00:00:00+05:30,1,218.95,170.15000000000055,22,4987.05
2015-09-09 00:00:00+05:30,1,220.0,170.15000000000055,22,5010.150000000001
2015-09-10 00:00:00+05:30,1,231.5,170.15000000000055,22,5263.150000000001
2015-09-11 00:00:00+05:30,-1,220.5,5021.150000000001,0,5021.150000000001
2015-09-12 00:00:00+05:30,-1,221.15,5021.150000000001,0,5021.150000000001
2015-09-13 00:00:00+05:30,1,221.15,155.85000000000036,22,5021.150000000001
2015-09-14 00:00:00+05:30,1,221.15,155.85000000000036,22,5021.150000000001
2015-09-15 00:00:00+05:30,1,220.15,155.85000000000036,22,4999.150000000001
2015-09-16 00:00:00+05:30,1,220.5,155.85000000000036,22,5006.85
2015-09-17 00:00:00+05:30,1,221.0,155.85000000000036,22,5017.85
2015-09-18 00:00:00+05:30,1,221.0,155.85000000000036,22,5017.85
2015-09-19 00:00:00+05:30,1,226.0,155.85000000000036,22,5127.85
2015-09-20 00:00:00+05:30,1,226.0,155.85000000000036,22,5127.85
2015-09-21 00:00:00+05:30,1,226.0,155.85000000000036,22,5127.85
2015-09-22 00:00:00+05:30,1,224.65,155.85000000000036,22,5098.150000000001
2015-09-23 00:00:00+05:30,1,233.1,155.85000000000036,22,5284.05
2015-09-24 00:00:00+05:30,1,236.0,155.85000000000036,22,5347.85
2015-09-25 00:00:00+05:30,1,239.95,155.85000000000036,22,5434.75
2015-09-26 00:00:00+05:30,1,239.95,155.85000000000036,22,5434.75
2015-09-27 00:00:00+05:30,1,239.95,155.85000000000036,22,5434.75
2015-09-28 00:00:00+05:30,1,239.95,155.85000000000036,22,5434.75
2015-09-29 00:00:00+05:30,1,239.9,155.85000000000036,22,5433.650000000001
2015-09-30 00:00:00+05:30,1,237.95,155.85000000000036,22,5390.75
2015-10-01 00:00:00+05:30,1,237.05,155.85000000000036,22,5370.950000000001
2015-10-02 00:00:00+05:30,1,237.8,155.85000000000036,22,5387.450000000001
2015-10-03 00:00:00+05:30,-1,237.8,5387.450000000001,0,5387.450000000001
2015-10-04 00:00:00+05:30,1,237.8,155.85000000000036,22,5387.450000000001
2015-10-05 00:00:00+05:30,-1,237.8,5387.450000000001,0,5387.450000000001
2015-10-06 00:00:00+05:30,1,231.0,74.45000000000073,23,5387.450000000001
2015-10-07 00:00:00+05:30,1,230.1,74.45000000000073,23,5366.750000000001
2015-10-08 00:00:00+05:30,1,228.8,74.45000000000073,23,5336.850000000001
2015-10-09 00:00:00+05:30,1,229.4,74.45000000000073,23,5350.650000000001
2015-10-10 00:00:00+05:30,1,234.0,74.45000000000073,23,5456.450000000001
2015-10-11 00:00:00+05:30,1,234.0,74.45000000000073,23,5456.450000000001
2015-10-12 00:00:00+05:30,1,234.0,74.45000000000073,23,5456.450000000001
2015-10-13 00:00:00+05:30,1,230.0,74.45000000000073,23,5364.450000000001
2015-10-14 00:00:00+05:30,1,226.6,74.45000000000073,23,5286.250000000001
2015-10-15 00:00:00+05:30,1,235.1,74.45000000000073,23,5481.750000000001
2015-10-16 00:00:00+05:30,1,233.25,74.45000000000073,23,5439.200000000001
2015-10-17 00:00:00+05:30,1,234.9,74.45000000000073,23,5477.150000000001
